Code,Name
NSE/CHROMATIC,Chromatic India Limited
NSE/BEML,BEML Limited
NSE/BEL,Bharat Electronics Limited
NSE/CINEVISTA,Cinevista Limited
NSE/DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
NSE/BHARATGEAR,Bharat Gears Limited
NSE/BHARTIARTL,Bharti Airtel Limited
NSE/BINANIIND,Binani Industries Limited
NSE/BLBLIMITED,BLB Limited
NSE/BINDALAGRO,Oswal Chemicals & Fertilizers Limited
NSE/BSL,BSL Limited
NSE/BHUSANSTL,Bhushan Steel Limited
NSE/BPCL,Bharat Petroleum Corporation Limited
NSE/BLUESTARCO,Blue Star Limited
NSE/BRIGADE,Brigade Enterprises Limited
NSE/CIPLA,Cipla Limited
NSE/BLUEDART,Blue Dart Express Limited
NSE/BLUECOAST,Blue Coast Hotels Limited
NSE/CNOVAPETRO,CIL Nova Petrochemicals Limited
NSE/BSLNIFTY,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth
NSE/BRFL,Bombay Rayon Fashions Limited
NSE/BRITANNIA,Britannia Industries Limited
NSE/DCMSHRIRAM,DCM Shriram Limited
NSE/CANFINHOME,Can Fin Homes Limited
NSE/CANDC,C & C Constructions Limited
NSE/CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
NSE/CELEBRITY,Celebrity Fashions Limited
NSE/CASTROLIND,Castrol India Limited
NSE/CANTABIL,Cantabil Retail India Limited
NSE/CENTENKA,Century Enka Limited
NSE/CCL,CCL Products (India) Limited
NSE/COALINDIA,Coal India Limited
NSE/CERA,Cera Sanitaryware Limited
NSE/CENTUM,Centum Electronics Limited
NSE/ELECTHERM,Electrotherm (India) Limited
NSE/CLNINDIA,Clariant Chemicals (India) Limited
NSE/CENTURYPLY,Century Plyboards (India) Limited
NSE/CRMFGETF,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF
NSE/CHOLAFIN,Cholamandalam Investment and Finance Company Limited
NSE/COROMANDEL,Coromandel International Limited
NSE/CONSOFINVT,Consolidated Finvest & Holdings Limited
NSE/CREST,Crest Ventures Limited
NSE/CTE,Cambridge Technology Enterprises Limited
NSE/COXKINGS,Cox & Kings Limited
NSE/CYBERTECH,Cybertech Systems And Software Limited
NSE/CUB,City Union Bank Limited
NSE/DQE,DQ Entertainment (International) Limited
NSE/CUMMINSIND,Cummins India Limited
NSE/DHANUKA,Dhanuka Agritech Limited
NSE/DCBBANK,DCB BANK LIMITED
NSE/DONEAR,Donear Industries Limited
NSE/CRISIL,CRISIL Limited
NSE/EROSMEDIA,Eros International Media Limited
NSE/FLEXITUFF,Flexituff International Limited
NSE/DALMIASUG,Dalmia Bharat Sugar and Industries Limited
